CRITERIA,DEVELOPER NAMES,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
Experience,D1,1,0.2,0.25,0.25,2,0.333333333,0.333333333,0.25,2,3
Experience,D2,5,1,4,3,5,5,5,4,5,5
Experience,D3,4,0.25,1,1,5,3,3,2,5,5
Experience,D4,4,0.333333333,1,1,5,3,3,2,5,5
Experience,D5,0.5,0.2,0.2,0.2,1,0.333333333,0.333333333,0.2,2,3
Experience,D6,3,0.2,0.333333333,0.333333333,3,1,0.5,0.333333333,2,3
Experience,D7,3,0.2,0.333333333,0.333333333,3,2,1,0.333333333,3,5
Experience,D8,4,0.25,0.5,0.5,5,3,3,1,3,5
Experience,D9,0.5,0.2,0.2,0.2,0.5,0.5,0.333333333,0.333333333,1,3
Experience,D10,0.333333333,0.2,0.2,0.2,0.333333333,0.333333333,0.2,0.2,0.333333333,1
Total Bugs Assigned,D1,1,0.5,5,0.333333333,1,3,3,4,0.333333333,4
Total Bugs Assigned,D2,2,1,5,0.5,3,3,3,4,0.5,4
Total Bugs Assigned,D3,0.2,0.2,1,0.2,0.2,0.25,0.25,0.333333333,0.2,0.333333333
Total Bugs Assigned,D4,3,2,5,1,4,4,4,3,0.5,3
Total Bugs Assigned,D5,1,0.333333333,5,0.25,1,4,4,3,0.333333333,3
Total Bugs Assigned,D6,0.333333333,0.333333333,4,0.25,0.25,1,1,2,0.25,2
Total Bugs Assigned,D7,0.333333333,0.333333333,4,0.25,0.25,1,1,2,0.25,2
Total Bugs Assigned,D8,0.25,0.25,3,0.333333333,0.333333333,0.5,,1,0.25,1
Total Bugs Assigned,D9,3,2,5,2,3,4,4,4,1,4
Total Bugs Assigned,D10,0.25,0.25,3,0.333333333,0.333333333,0.5,0.5,1,0.25,1
New Bugs,D1,1,0.2,2,0.25,0.333333333,0.25,0.25,1,0.2,3
New Bugs,D2,5,1,5,2,4,3,3,5,0.5,4
New Bugs,D3,0.5,0.2,1,0.2,0.333333333,0.25,0.25,2,0.2,0.333333333
New Bugs,D4,4,0.5,5,1,4,3,3,4,0.5,5
New Bugs,D5,3,0.25,3,0.25,1,2,2,3,0.25,2
New Bugs,D6,4,0.333333333,4,0.333333333,0.5,1,2,3,0.25,3
New Bugs,D7,4,0.333333333,4,0.333333333,0.5,0.5,1,4,0.25,2
New Bugs,D8,1,0.2,0.5,0.25,0.333333333,0.333333333,0.25,1,0.2,2
New Bugs,D9,5,2,5,2,4,4,4,5,1,5
New Bugs,D10,0.333333333,0.25,3,0.2,0.5,0.333333333,0.5,0.5,0.2,1
Total Fixed Bugs,D1,1,3,5,3,2,3,4,3,3,3
Total Fixed Bugs,D2,0.333333333,1,2,0.5,0.5,1,2,2,1,1
Total Fixed Bugs,D3,0.2,0.5,1,0.25,0.25,0.333333333,0.333333333,0.25,0.333333333,0.333333333
Total Fixed Bugs,D4,0.333333333,2,4,1,0.5,2,2,2,2,2
Total Fixed Bugs,D5,0.5,2,4,2,1,2,3,2,2,2
Total Fixed Bugs,D6,0.333333333,1,3,0.5,0.5,1,2,0.5,1,1
Total Fixed Bugs,D7,0.25,0.5,3,0.5,0.333333333,0.5,1,0.5,2,2
Total Fixed Bugs,D8,0.333333333,0.5,4,0.5,0.5,2,2,1,2,2
Total Fixed Bugs,D9,0.333333333,1,3,0.5,0.5,1,0.5,0.5,1,1
Total Fixed Bugs,D10,0.333333333,1,3,0.5,0.5,1,0.5,0.5,1,1
Average Fixing Time(days),D1,1,0.25,0.25,5,6,0.166666667,0.142857143,0.2,0.142857143,0.25
Average Fixing Time(days),D2,4,1,2,5,7,0.2,0.166666667,0.2,0.166666667,2
Average Fixing Time(days),D3,4,0.5,1,6,7,0.2,0.166666667,0.2,0.166666667,2
Average Fixing Time(days),D4,0.2,0.2,0.142857143,1,6,0.142857143,0.125,0.142857143,7,6
Average Fixing Time(days),D5,0.166666667,0.142857143,0.142857143,0.166666667,1,0.125,0.111111111,0.125,9,7
Average Fixing Time(days),D6,6,5,5,7,8,1,0.25,3,3,0.2
Average Fixing Time(days),D7,7,6,6,8,9,4,1,5,2,6
Average Fixing Time(days),D8,5,5,5,7,8,0.333333333,0.2,1,0.25,0.2
Average Fixing Time(days),D9,7,6,6,0.142857143,0.111111111,0.333333333,0.5,4,1,6
Average Fixing Time(days),D10,4,0.5,0.5,0.166666667,0.142857143,5,0.166666667,5,0.166666667,1
