Developers,last closed,first opened,exp,tot bugs asgn,new bugs,tot fixed bugs,avg fixing time(days)
Adam Lock (D1),4/20/2021 17:06,03-01-2018 02:03,"3,3,17",21,3,18,408
Alec Flett (D2),01-12-2021 17:02,03-01-2018 12:24,"3,10,28",23,10,13,346
Ben Campbell (D3),02-09-2021 17:02,03-01-2018 00:33,"3,7,30",12,2,10,354
Charles Manske (D4),02-09-2021 17:00,03-01-2018 02:48,"3,7,31",24,9,15,514(181)
Ginn Chen (D5),4/20/2021 17:06,02-01-2018 08:28,"3,3,8",21,5,16,669
Julian Reschke (D6),04-06-2021 17:00,08-01-2018 16:16,"3,4,27",19,6,13,219
Kestrel (D7),04-06-2021 17:06,02-01-2018 06:09,"3,5,2",19,7,12,158
Michael Ventnor (D8),03-09-2021 17:05,1/14/2018 1:39,"3,7,20",17,3,14,254
Yulia Startsev (D9),4/20/2021 17:05,01-01-2018 07:50,"3,3,19",26,13,13,179
Ryan Cassin (D10),04-03-2021 20:47,05-01-2018 03:01,"3,1,27",17,4,13,351
